"bank, ct, dollar, net, oil, rate, share, shr, tonn, wheat","1, 1, 1, 1, 1, 1, 1, 0, 1, 1","bank, ct, dollar, net, oil, rate, share, tonn, wheat"
"bank, barrel, compani, ct, dollar, export, grain, loss, market, net, nil, offer, oil, price, rate, share, shr, tonn, trade, wheat","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1","bank, barrel, compani, ct, dollar, export, grain, loss, market, net, offer, oil, price, rate, share, tonn, trade, wheat"
"agreement, bank, barrel, bill, bpd, compani, corn, corp, crude, ct, currenc, dlr, dollar, exchang, export, foreign, govern, grain, group, gulf, import, japan, loss, market, mln, net, nil, offer, offici, oil, opec, oper, pct, price, product, profit, rate, reserv, rev, sale, share, shr, stg, stock, today, tonn, trade, week, wheat, yen","1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0","agreement, bank, compani, corp, ct, dlr, exchang, export, govern, grain, group, market, mln, net, offer, offici, oil, oper, pct, price, product, rate, reserv, sale, share, stock, today, tonn, trade, week"
"acquir, agreement, agricultur, attack, bank, barrel, bid, bill, billion, bpd, central, common, compani, contract, corn, corp, countri, crop, crude, ct, currenc, day, dealer, depart, dlr, dollar, estim, exchang, export, field, foreign, ga, govern, grain, group, gulf, import, includ, industri, interest, intervent, iran, iranian, japan, japanes, loss, mark, market, meet, minist, mln, money, month, nation, net, nil, note, offer, offici, oil, opec, oper, pct, plan, polici, price, produc, product, profit, program, propos, purchas, quarter, rate, reserv, reuter, rev, sale, secur, share, shr, sourc, soviet, state, stg, stock, system, tax, tender, today, tonn, total, trade, unit, week, west, wheat, will, year, yen","1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0","acquir, agreement, bank, billion, compani, corp, countri, ct, day, depart, dlr, estim, exchang, export, govern, group, includ, industri, interest, market, meet, mln, month, nation, net, offer, offici, oil, oper, pct, plan, price, product, purchas, sale, secur, share, state, stock, system, today, tonn, total, trade, unit, week, will, year"
"acquir, acquisit, agre, agreement, agricultur, american, analyst, announc, approv, april, area, attack, avg, bank, barrel, bid, bill, billion, board, bond, bpd, bundesbank, busi, buy, cash, central, certif, chang, china, close, comment, commiss, committe, commod, common, compani, contract, corn, corp, cost, countri, credit, crop, crude, ct, currenc, current, cut, day, dealer, decemb, declin, demand, depart, develop, dlr, dollar, domest, earn, ec, econom, ecuador, energi, estim, exchang, expect, explor, export, farm, farmer, februari, fed, feder, field, financ, financi, firm, forecast, foreign, franc, fund, futur, ga, gain, govern, grain, group, gulf, help, hold, import, includ, increas, industri, interest, intern, intervent, invest, iran, iranian, issu, japan, japanes, level, loss, maiz, major, manag, mark, market, meet, minist, mln, money, month, mth, nation, net, nil, note, offer, offici, oil, opec, open, oper, output, pay, pct, period, petroleum, pipelin, plan, plant, polici, presid, price, prior, produc, product, profit, program, propos, purchas, quarter, rais, rate, record, refineri, report, reserv, reuter, rev, rise, rose, sale, saudi, secur, sell, share, sharehold, ship, shipment, shr, sourc, south, soviet, spokesman, stabil, state, statement, stg, stock, subsidiari, suppli, system, taiwan, target, tax, tender, term, time, today, told, tonn, total, trade, trader, treasuri, union, unit, usda, week, well, west, wheat, will, year, yen, yesterday","1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0","acquir, agre, agreement, announc, approv, april, bank, billion, board, close, compani, corp, countri, ct, current, day, depart, dlr, estim, exchang, expect, export, govern, group, includ, increas, industri, interest, intern, loss, market, meet, mln, month, nation, net, offer, offici, oil, oper, pct, period, plan, price, product, purchas, rais, record, report, sale, secur, share, spokesman, state, statement, stock, system, term, today, told, tonn, total, trade, unit, week, will, year"
"accord, acquir, acquisit, acr, action, addit, administr, agenc, ago, agre, agreement, agricultur, allow, american, analyst, announc, approv, april, arabia, area, asset, associ, attack, averag, avg, baker, band, bank, barrel, base, bid, bill, billion, board, bond, bought, bpd, budget, bundesbank, busi, buy, call, canada, canadian, capit, cash, central, certif, chairman, chang, china, close, comment, commiss, committe, commod, common, compani, complet, continu, contract, control, cooper, corn, corp, cost, countri, credit, crop, crude, ct, currenc, current, cut, damag, day, dealer, debt, decemb, declin, deficit, demand, depart, develop, discount, discuss, dividend, dlr, dollar, domest, drill, drop, earli, earn, ec, econom, economi, economist, ecuador, end, energi, england, estim, european, exchang, expect, explor, export, fall, farm, farmer, februari, fed, feder, fell, field, figur, financ, financi, firm, forecast, foreign, franc, french, fund, futur, ga, gain, german, germani, govern, grain, group, growth, gulf, help, high, higher, hold, hous, import, includ, incom, increas, industri, interest, intern, intervent, invest, iran, iranian, issu, japan, japanes, june, level, limit, liquid, loan, loss, lower, maiz, major, manag, mark, market, measur, meet, member, merger, minist, ministri, mln, monetari, money, month, move, mth, nation, net, news, nil, note, offer, offici, oil, opec, open, oper, option, output, outstand, own, pari, pay, payment, pct, period, petroleum, pipelin, plan, plant, platform, point, polici, posit, post, presid, prev, previou, price, prior, produc, product, profit, program, project, propos, provid, purchas, quarter, quot, rais, rate, reagan, receiv, record, reduc, refineri, report, repurchas, requir, reserv, reuter, rev, revenu, rise, rose, sale, saudi, season, secretari, secur, sell, servic, set, share, sharehold, ship, shipment, shr, sold, sourc, south, soviet, soybean, spokesman, stabil, stake, start, state, statement, stg, stock, store, subsidiari, suppli, support, system, taiwan, talk, target, tax, tender, term, texa, time, today, told, tonn, total, trade, trader, transact, treasuri, uk, union, unit, usda, week, well, west, wheat, will, winter, work, year, yen, yesterday, york","0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0","acquir, addit, agre, agreement, announc, approv, april, bank, billion, board, close, compani, complet, continu, corp, countri, ct, current, day, depart, dlr, estim, exchang, expect, export, govern, group, hous, includ, increas, industri, interest, intern, loss, market, meet, mln, month, nation, net, offer, offici, oil, oper, pct, period, plan, price, product, purchas, rais, record, report, sale, secur, share, sold, spokesman, state, statement, stock, system, today, told, tonn, total, trade, unit, week, will, year"
"accept, accord, acquir, acquisit, acr, action, addit, adjust, administr, agenc, ago, agre, agreement, agricultur, aid, allow, american, analyst, announc, annual, approv, april, arabia, area, ask, asset, assist, associ, attack, author, averag, avg, baker, balanc, band, bank, banker, barley, barrel, base, bid, bill, billion, board, bond, bought, bpd, brazil, british, budget, bundesbank, bushel, busi, buy, call, canada, canadian, capit, cash, cent, central, certif, chairman, chang, china, close, comment, commiss, commit, committe, commod, common, commun, compani, compar, competit, complet, condit, confer, consid, continu, contract, control, cooper, corn, corp, corpor, cost, countri, cover, credit, crop, crude, ct, currenc, current, custom, cut, daili, damag, day, deal, dealer, debt, decemb, decis, declin, deficit, deliveri, demand, depart, develop, director, discount, discuss, div, dividend, dlr, dollar, domest, drill, drop, earli, earn, east, ec, econom, economi, economist, ecuador, effect, end, energi, england, estim, european, exchang, expect, explor, export, fall, farm, farmer, februari, fed, feder, feed, fell, field, figur, file, financ, financi, firm, fiscal, food, forc, forecast, foreign, franc, french, friday, fund, futur, ga, gain, german, germani, good, govern, grain, group, growth, guilder, gulf, heavi, held, help, high, higher, hold, hous, import, improv, includ, incom, increas, indic, industri, interest, intern, interven, intervent, invest, investor, iran, iranian, issu, januari, japan, japanes, juli, june, kuwait, late, level, limit, liquid, loan, local, long, loss, low, lower, lyng, main, maiz, major, manag, march, mark, market, measur, meet, member, merger, minist, ministri, mln, monday, monetari, money, month, morn, move, mth, nation, natur, net, news, nil, north, note, number, offer, offic, offici, offshor, oil, opec, open, oper, option, output, outstand, own, pacif, pari, pay, payment, pct, period, petroleum, pipelin, plan, plant, platform, plc, point, polici, posit, post, presid, pressur, prev, previou, price, prior, privat, problem, produc, product, profit, program, project, propos, provid, provis, public, purchas, qtr, quarter, quot, quota, rais, rang, rate, reach, reagan, receiv, record, reduc, refin, refineri, report, repres, repurchas, requir, reserv, resourc, respons, reuter, rev, revenu, revis, rice, rig, rise, rose, rule, sale, saudi, save, sea, season, secretari, secur, sell, servic, set, share, sharehold, ship, shipment, shortag, shr, sign, sold, sourc, south, soviet, soybean, specul, spokesman, stabil, stake, start, state, statement, sterl, stg, stock, store, studi, subsidi, subsidiari, suppli, support, system, taiwan, talk, tanker, target, tax, tender, term, texa, texaco, three, time, today, told, tonn, total, trade, trader, transact, treasuri, uk, union, unit, usair, usda, venezuela, washington, water, weather, week, well, west, western, wheat, will, winter, wk, work, year, yen, yesterday, york","0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0","acquir, addit, agre, agreement, announc, approv, april, bank, billion, board, close, compani, complet, continu, corp, countri, ct, current, day, depart, dlr, effect, estim, exchang, expect, export, govern, group, hous, includ, increas, industri, interest, intern, loss, march, market, meet, mln, month, nation, net, offici, oil, oper, pct, period, plan, price, product, purchas, record, report, sale, secur, share, sold, spokesman, state, statement, stock, system, three, today, told, tonn, total, trade, unit, week, will, year"
"accept, accord, acquir, acquisit, acr, action, add, addit, adjust, administr, africa, agenc, ago, agre, agreement, agricultur, aid, allow, american, analyst, announc, annual, approv, april, arab, arabia, area, ask, asset, assist, associ, attack, august, australian, author, averag, avg, baker, balanc, band, bank, banker, barley, barrel, base, benefit, bid, bill, billion, block, board, bond, bonu, bought, bpd, brazil, bring, britain, british, budget, bundesbank, bushel, busi, buy, call, canada, canadian, capac, capit, cash, ccc, cent, central, cereal, certif, chairman, chang, charg, china, close, comment, commerci, commiss, commit, committe, commod, common, commun, compani, compar, competit, complet, concern, condit, confer, consid, continent, continu, contract, control, cooper, corn, corp, corpor, cost, countri, cover, credit, crop, crude, ct, cubic, currenc, current, custom, cut, cyclop, daili, damag, data, day, de, deal, dealer, debt, decemb, decid, decis, declin, deficit, deliveri, demand, depart, depend, deposit, detail, develop, diplomat, director, discount, discuss, div, dividend, dlr, dollar, dome, domest, drill, drop, earli, earn, eas, east, ec, econom, economi, economist, ecuador, effect, em, end, energi, england, estim, europ, european, exchang, exclud, execut, expect, explor, export, factor, fall, farm, farmer, februari, fed, feder, fee, feed, feedgrain, fell, field, figur, file, final, financ, financi, firm, fiscal, fix, food, forc, forecast, foreign, form, franc, free, french, friday, fuel, full, fund, futur, ga, gain, german, germani, good, govern, grain, group, growth, guarante, guilder, gulf, half, heavi, held, help, high, higher, hold, hous, imf, import, improv, includ, incom, increas, indic, indonesia, industri, inflat, initi, institut, insur, intent, interest, intern, interven, intervent, invest, investor, involv, iran, iranian, iraq, issu, januari, japan, japanes, juli, june, kuwait, late, lawson, lead, level, light, limit, liquid, load, loan, local, long, loss, louvr, low, lower, lyng, main, maiz, major, manag, march, mark, market, measur, meet, member, merger, militari, mine, minist, ministri, mln, monday, monetari, money, month, morn, move, mth, nation, natur, negoti, net, news, nil, north, northern, norway, note, number, offer, offic, offici, offshor, oil, opec, open, oper, option, order, output, outstand, own, pacif, paid, pari, pay, payment, pct, peopl, period, peso, petroleum, pipelin, plan, plant, platform, plc, point, polici, port, posit, post, pound, presid, pressur, prev, previou, price, prime, prior, privat, problem, process, produc, product, profit, program, project, propos, prospect, protect, provid, provis, public, purchas, qtli, qtr, quarter, quot, quota, rain, rais, rang, rate, reach, reagan, receiv, record, reduc, refin, refineri, reflect, region, releas, report, repres, repurchas, requir, reserv, resourc, respons, restructur, reuter, rev, revenu, review, revis, rice, rig, right, rise, rose, rule, sale, saudi, save, sea, season, second, secretari, secur, seek, sell, senior, septemb, servic, set, share, sharehold, shell, ship, shipment, shortag, shr, sign, sold, sourc, south, soviet, soybean, spain, special, specul, spokesman, spot, stabil, stake, start, state, statement, sterl, stg, stock, store, strike, strong, studi, subject, subsidi, subsidiari, suppli, support, surplu, swap, system, taiwan, takeov, talk, tanker, target, tax, technolog, tender, term, termin, texa, texaco, three, time, today, tokyo, told, tonn, total, trade, trader, transact, treasuri, uk, union, unit, usair, usda, valu, venezuela, war, washington, water, weather, week, well, west, western, wheat, will, winter, wk, work, year, yen, yesterday, yield, york","0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0","acquir, addit, agre, agreement, announc, approv, april, bank, billion, board, close, compani, complet, continu, corp, countri, ct, current, day, depart, dlr, effect, estim, exchang, expect, export, govern, group, hous, includ, increas, industri, interest, intern, loss, march, market, meet, mln, month, nation, net, offici, oil, oper, pct, period, plan, price, product, purchas, record, report, sale, secur, share, sold, spokesman, state, statement, stock, system, three, today, told, tonn, total, trade, unit, week, will, year"
"bank, billion, compani, ct, dlr, market, mln, net, offer, oil, oper, pct, price, rate, sale, share, stock, trade, will, year","1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","bank, billion, compani, ct, dlr, market, mln, offer, oil, oper, pct, price, rate, sale, share, stock, trade, will, year"
"agreement, april, bank, barrel, bill, billion, compani, corp, ct, currenc, dlr, dollar, exchang, expect, export, foreign, govern, group, import, industri, japan, loss, market, mln, month, net, offer, offici, oil, oper, pct, price, product, profit, rate, report, reserv, sale, share, shr, stg, stock, today, tonn, total, trade, unit, week, will, year","1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1","agreement, april, bank, billion, compani, corp, ct, dlr, exchang, expect, export, govern, group, industri, market, mln, month, net, offer, offici, oil, oper, pct, price, product, report, sale, share, stock, today, tonn, total, trade, unit, week, will, year"
"acquir, agreement, agricultur, analyst, april, bank, barrel, bid, bill, billion, central, common, compani, contract, corp, countri, crop, ct, currenc, current, day, dealer, depart, dlr, dollar, estim, exchang, expect, export, field, foreign, futur, ga, govern, group, gulf, import, includ, increas, industri, interest, intervent, japan, japanes, loss, march, mark, market, meet, minist, mln, money, month, nation, net, nil, note, offer, offici, oil, oper, pct, plan, polici, price, produc, product, profit, program, propos, purchas, quarter, rate, report, reserv, reuter, sale, secur, share, shr, sourc, soviet, spokesman, state, stg, stock, system, tax, tender, today, told, tonn, total, trade, unit, week, west, will, year, yen","1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0","acquir, agreement, april, bank, billion, compani, corp, countri, ct, current, day, depart, dlr, estim, exchang, expect, export, govern, group, includ, increas, industri, interest, loss, march, market, meet, mln, month, nation, net, offer, offici, oil, oper, pct, plan, price, product, purchas, report, sale, secur, share, spokesman, state, stock, system, today, told, tonn, total, trade, unit, week, will, year"
